algo,kind,category,n,alpha,beta,seed,objective,status,runtime_total,gap_solver,feasible,LB,UB,iter_count,first_feasible_time,terminated_reason,nodes_explored,solutions_found,category_label
Gurobi,optimal,standard,20,0.400,0.010,1,1810.000,OPTIMAL,0.054,0.000,True,1810.000,1810.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.010,2,1859.000,OPTIMAL,0.006,0.000,True,1859.000,1859.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.010,3,1860.000,OPTIMAL,0.018,0.000,True,1860.000,1860.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.010,4,1846.000,OPTIMAL,0.032,0.000,True,1846.000,1846.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.010,5,1841.000,OPTIMAL,0.011,0.000,True,1841.000,1841.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.050,1,1810.000,OPTIMAL,0.026,0.000,True,1810.000,1810.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.050,2,1849.000,OPTIMAL,0.055,0.000,True,1849.000,1849.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.050,3,1860.000,OPTIMAL,0.024,0.000,True,1860.000,1860.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.050,4,1841.000,OPTIMAL,0.012,0.000,True,1841.000,1841.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.050,5,1838.000,OPTIMAL,0.024,0.000,True,1838.000,1838.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.100,1,1807.000,OPTIMAL,0.022,0.000,True,1807.000,1807.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.100,2,1844.000,OPTIMAL,0.043,0.000,True,1844.000,1844.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.100,3,1857.000,OPTIMAL,0.032,0.000,True,1857.000,1857.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.100,4,1841.000,OPTIMAL,0.028,0.000,True,1841.000,1841.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.100,5,1838.000,OPTIMAL,0.032,0.000,True,1838.000,1838.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.150,1,1807.000,OPTIMAL,0.035,0.000,True,1807.000,1807.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.150,2,1844.000,OPTIMAL,0.054,0.000,True,1844.000,1844.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.150,3,1857.000,OPTIMAL,0.030,0.000,True,1857.000,1857.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.150,4,1841.000,OPTIMAL,0.028,0.000,True,1841.000,1841.000,,,,,,Standard
Gurobi,optimal,standard,20,0.400,0.150,5,1837.000,OPTIMAL,0.030,0.000,True,1837.000,1837.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.010,1,1810.000,OPTIMAL,0.015,0.000,True,1810.000,1810.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.010,2,1853.000,OPTIMAL,0.012,0.000,True,1853.000,1853.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.010,3,1847.000,OPTIMAL,0.037,0.000,True,1847.000,1847.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.010,4,1836.000,OPTIMAL,0.015,0.000,True,1836.000,1836.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.010,5,1838.000,OPTIMAL,0.028,0.000,True,1838.000,1838.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.050,1,1768.000,OPTIMAL,0.204,0.000,True,1768.000,1768.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.050,2,1824.000,OPTIMAL,0.130,0.000,True,1824.000,1824.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.050,3,1823.000,OPTIMAL,0.268,0.000,True,1823.000,1823.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.050,4,1779.000,OPTIMAL,0.125,0.000,True,1779.000,1779.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.050,5,1828.000,OPTIMAL,0.047,0.000,True,1828.000,1828.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.100,1,1698.000,OPTIMAL,0.887,0.000,True,1698.000,1698.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.100,2,1721.000,OPTIMAL,1.259,0.000,True,1721.000,1721.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.100,3,1719.000,OPTIMAL,1.024,0.000,True,1719.000,1719.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.100,4,1656.000,OPTIMAL,0.790,0.000,True,1656.000,1656.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.100,5,1716.000,OPTIMAL,0.879,0.000,True,1716.000,1716.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.150,1,1533.000,OPTIMAL,14.420,0.000,True,1533.000,1533.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.150,2,1592.000,OPTIMAL,8.976,0.000,True,1592.000,1592.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.150,3,1509.000,OPTIMAL,109.163,0.000,True,1509.000,1509.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.150,4,1424.000,OPTIMAL,274.336,0.000,True,1424.000,1424.000,,,,,,Standard
Gurobi,optimal,standard,20,1.000,0.150,5,1515.000,OPTIMAL,46.282,0.000,True,1515.000,1515.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.010,1,2860.000,OPTIMAL,0.059,0.000,True,2860.000,2860.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.010,2,2865.000,OPTIMAL,0.032,0.000,True,2865.000,2865.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.010,3,2855.000,OPTIMAL,0.036,0.000,True,2855.000,2855.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.010,4,2827.000,OPTIMAL,0.040,0.000,True,2827.000,2827.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.010,5,2855.000,OPTIMAL,0.043,0.000,True,2855.000,2855.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.050,1,2859.000,OPTIMAL,0.089,0.000,True,2859.000,2859.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.050,2,2862.000,OPTIMAL,0.075,0.000,True,2862.000,2862.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.050,3,2838.000,OPTIMAL,0.072,0.000,True,2838.000,2838.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.050,4,2793.000,OPTIMAL,0.117,0.000,True,2793.000,2793.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.050,5,2839.000,OPTIMAL,0.122,0.000,True,2839.000,2839.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.100,1,2836.000,OPTIMAL,0.256,0.000,True,2836.000,2836.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.100,2,2855.000,OPTIMAL,0.184,0.000,True,2855.000,2855.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.100,3,2835.000,OPTIMAL,0.153,0.000,True,2835.000,2835.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.100,4,2776.000,OPTIMAL,0.264,0.000,True,2776.000,2776.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.100,5,2830.000,OPTIMAL,0.165,0.000,True,2830.000,2830.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.150,1,2834.000,OPTIMAL,0.225,0.000,True,2834.000,2834.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.150,2,2855.000,OPTIMAL,0.166,0.000,True,2855.000,2855.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.150,3,2811.000,OPTIMAL,0.354,0.000,True,2811.000,2811.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.150,4,2763.000,OPTIMAL,0.515,0.000,True,2763.000,2763.000,,,,,,Standard
Gurobi,optimal,standard,30,0.400,0.150,5,2816.000,OPTIMAL,0.298,0.000,True,2816.000,2816.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.010,1,2858.000,OPTIMAL,0.084,0.000,True,2858.000,2858.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.010,2,2863.000,OPTIMAL,0.119,0.000,True,2863.000,2863.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.010,3,2853.000,OPTIMAL,0.083,0.000,True,2853.000,2853.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.010,4,2816.000,OPTIMAL,0.174,0.000,True,2816.000,2816.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.010,5,2828.000,OPTIMAL,0.271,0.000,True,2828.000,2828.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.050,1,2766.000,OPTIMAL,4.322,0.000,True,2766.000,2766.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.050,2,2777.000,OPTIMAL,3.722,0.000,True,2777.000,2777.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.050,3,2750.000,OPTIMAL,3.730,0.000,True,2750.000,2750.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.050,4,2717.000,OPTIMAL,5.844,0.000,True,2717.000,2717.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.050,5,2741.000,OPTIMAL,14.029,0.000,True,2741.000,2741.000,,,,,,Standard
Gurobi,optimal,standard,30,1.000,0.100,1,2497.000,TIME_LIMIT,600.139,0.062,True,2497.000,2497.000,,,,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.010,1,1807.000,FEASIBLE,0.031,,True,1807.000,1824.177,500,0.001,iteration_limit,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.010,2,1859.000,FEASIBLE,0.001,,True,1859.000,1859.000,1,0.000,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.010,3,1860.000,FEASIBLE,0.001,,True,1860.000,1860.000,1,0.000,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.010,4,1846.000,FEASIBLE,0.001,,True,1846.000,1846.000,1,0.000,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.010,5,1841.000,FEASIBLE,0.001,,True,1841.000,1841.000,1,0.000,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.050,1,1810.000,FEASIBLE,0.007,,True,1810.000,1810.000,6,0.001,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.050,2,1846.000,FEASIBLE,0.112,,True,1846.000,1855.851,500,0.042,iteration_limit,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.050,3,1860.000,FEASIBLE,0.007,,True,1860.000,1860.000,1,0.000,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.050,4,1841.000,FEASIBLE,0.009,,True,1841.000,1841.000,2,0.002,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.050,5,1838.000,FEASIBLE,0.328,,True,1838.000,1838.711,500,0.001,iteration_limit,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.100,1,1739.000,FEASIBLE,0.948,,True,1739.000,1807.394,500,0.004,iteration_limit,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.100,2,1843.000,FEASIBLE,0.082,,True,1843.000,1853.403,500,0.004,iteration_limit,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.100,3,1857.000,FEASIBLE,0.012,,True,1857.000,1857.000,2,0.002,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.100,4,1841.000,FEASIBLE,0.016,,True,1841.000,1841.000,3,0.007,complementary_slackness,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.100,5,1838.000,FEASIBLE,0.540,,True,1838.000,1838.806,500,0.001,iteration_limit,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.150,1,1807.000,FEASIBLE,0.463,,True,1807.000,1807.775,500,0.003,iteration_limit,,,Standard
lagrangean_repair_lambda,heuristic,standard,20,0.400,0.150,2,1843.000,FEASIBLE,0.116,,True,1843.000,1852.531,500,0.020,iteration_limit,,,Standard
