category,n,alpha,beta,Gurobi,lagrangean_repair_lambda,Gurobi_std,lagrangean_repair_lambda_std
Standard,20,0.400,0.010,0.025,0.007,0.019,0.013
Standard,20,0.400,0.050,0.028,0.092,0.016,0.139
Standard,20,0.400,0.100,0.031,0.319,0.008,0.414
Standard,20,0.400,0.150,0.036,0.325,0.011,0.424
Standard,20,1.000,0.010,0.021,0.150,0.011,0.228
Standard,20,1.000,0.050,0.155,,0.084,
Standard,20,1.000,0.100,0.968,,0.183,
Standard,20,1.000,0.150,90.635,,110.151,
Standard,30,0.400,0.010,0.042,,0.011,
Standard,30,0.400,0.050,0.095,,0.023,
Standard,30,0.400,0.100,0.204,,0.052,
Standard,30,0.400,0.150,0.312,,0.134,
Standard,30,1.000,0.010,0.146,,0.079,
Standard,30,1.000,0.050,6.329,,4.390,
Standard,30,1.000,0.100,600.139,,,
